date                ,no ,x and y    ,xend and yend ,kosong ,car id ,jam dibuat ,jam isi  ,jam kosong
22:26:49 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:49
22:26:49 Sun-21-Jul,1,"(100, 119)","(317, 244)",Tidak,3,22:26:40,22:26:49,
22:26:49 Sun-21-Jul,2,"(69, 191)","(150, 277)",Iya,,22:26:43,,22:26:49
22:26:49 Sun-21-Jul,3,"(289, 83)","(373, 154)",Iya,,22:26:45,,22:26:49
22:27:43 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:43,
22:27:43 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:43,
22:27:43 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:44,
22:27:44 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:44,
22:27:44 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:44,
22:27:44 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:44,
22:27:44 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:44,
22:27:44 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:45,
22:27:45 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:45,
22:27:45 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:45,
22:27:45 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:45,
22:27:45 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:46,
22:27:46 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:46,
22:27:46 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:46,
22:27:46 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:46,
22:27:46 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:47,
22:27:47 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:47,
22:27:47 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:47,
22:27:47 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:47,
22:27:47 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:47,
22:27:48 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:48,
22:27:48 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:48,
22:27:48 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:48,
22:27:48 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:48,
22:27:48 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:49,
22:27:49 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:49,
22:27:49 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:49,
22:27:49 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:49,
22:27:49 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:49
22:27:49 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:49,
22:27:49 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:49
22:27:49 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:50,
22:27:49 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:50
22:27:50 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:50,
22:27:50 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:50
22:27:50 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:50,
22:27:50 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:50
22:27:50 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,1,22:27:43,22:27:50,
22:27:50 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:50
22:27:50 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:50,
22:27:50 Sun-21-Jul,2,"(204, 102)","(331, 203)",Iya,,22:27:49,,22:27:50
22:27:50 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:51,
22:27:50 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:51,
22:27:51 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:51,
22:27:51 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:51,
22:27:51 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:51,
22:27:51 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:51,
22:27:51 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:51,
22:27:51 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:51,
22:27:51 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,3,22:27:43,22:27:51,
22:27:51 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:51,
