date                ,no ,x and y      ,xend and yend
22:27:50 Sun-21-Jul,3,"(0, 150)","(152, 135)"
22:27:51 Sun-21-Jul,1,"(0, 197)","(220, 182)"
22:27:51 Sun-21-Jul,2,"(253, 238)","(481, 223)"
22:27:51 Sun-21-Jul,3,"(0, 150)","(152, 135)"
22:27:51 Sun-21-Jul,1,"(0, 197)","(229, 182)"
22:27:51 Sun-21-Jul,2,"(253, 238)","(481, 223)"
22:27:51 Sun-21-Jul,3,"(-10, 152)","(142, 137)"
22:27:51 Sun-21-Jul,1,"(0, 195)","(237, 180)"
22:27:51 Sun-21-Jul,2,"(252, 238)","(481, 223)"
22:27:51 Sun-21-Jul,3,"(-12, 151)","(143, 136)"
22:27:51 Sun-21-Jul,1,"(-2, 194)","(244, 179)"
22:27:51 Sun-21-Jul,2,"(250, 238)","(481, 223)"
22:27:51 Sun-21-Jul,3,"(8, 152)","(166, 137)"
22:27:51 Sun-21-Jul,1,"(0, 195)","(256, 180)"
22:27:51 Sun-21-Jul,2,"(252, 237)","(481, 222)"
22:27:51 Sun-21-Jul,3,"(3, 148)","(173, 133)"
22:27:52 Sun-21-Jul,1,"(9, 195)","(263, 180)"
22:27:52 Sun-21-Jul,2,"(1, 143)","(156, 128)"
22:27:52 Sun-21-Jul,3,"(252, 237)","(481, 222)"
22:27:52 Sun-21-Jul,1,"(27, 194)","(279, 179)"
22:27:52 Sun-21-Jul,2,"(2, 143)","(154, 128)"
22:27:52 Sun-21-Jul,3,"(255, 230)","(481, 215)"
22:27:52 Sun-21-Jul,1,"(41, 192)","(283, 177)"
22:27:52 Sun-21-Jul,2,"(0, 144)","(151, 129)"
22:27:52 Sun-21-Jul,3,"(255, 219)","(480, 204)"
22:27:52 Sun-21-Jul,1,"(58, 185)","(292, 170)"
22:27:52 Sun-21-Jul,2,"(1, 146)","(149, 131)"
22:27:52 Sun-21-Jul,3,"(257, 229)","(482, 214)"
22:27:52 Sun-21-Jul,1,"(69, 186)","(300, 171)"
22:27:52 Sun-21-Jul,2,"(2, 147)","(152, 132)"
22:27:52 Sun-21-Jul,3,"(261, 233)","(480, 218)"
22:27:53 Sun-21-Jul,1,"(83, 186)","(307, 171)"
22:27:53 Sun-21-Jul,2,"(4, 153)","(139, 138)"
